"","NA","f_other","NA","f_whl","NA","v_other","NA","v_dol","NA","g_whl","NA","milk","g_other","m_tot","oil","sfat","sodium","sofaas","energy"
"1",0,0,0,0,0,1.35553750219517,0,-1.84896430509556,0,0.223186711599352,0,1.99914147442462,0.407199221091076,-1.18037708303935,-2.49634476346961,0.380879773089162,0.516193966152401,-0.225255303772581,-0.0910377766636888
"2",0,0.273931961231777,0,-0.0665210971778311,0,0.75134868766966,0,-0.131952676145328,0,-1.27351244346116,0,0.368381346573662,-3.76436054929543,-0.482945780086487,-1.3695064710255,-1.48271688921858,-2.25864935963561,-2.07030375729771,-1.97893445675496
"3",0,1.13030794735008,0,0.22688447771887,0,0.0227154219835024,0,0,0,0,0,1.15499270109405,1.92032994684352,1.63119728372282,0.530268731521174,1.45262973909615,1.1038845698103,1.79920759125723,1.73610999748833
"4",0,0.518564081795656,0,0.257819600366428,0,0.684031683837094,0,0.208796773016535,0,-0.197730926560748,0,1.14261424904098,1.26899607673841,-0.00721394525569848,-1.81350508860333,-0.230853168158748,-1.17226999643843,0.302271157983769,0.879928131560256
"5",0,-0.0946989273212512,0,1.18652897513902,0,0.0545946359106624,0,0,0,5.40316410970611,0,3.1956078146147,-0.0544467377247671,-1.12280210708943,-0.272869024777394,2.04811112710952,1.55904491865752,0.27265251867398,1.96917145732882
"6",0,1.12220996295306,0,0.968567310351409,0,0,0,0,0,1.11854256638687,0,0.186586244678801,-2.22918687490127,1.27823114953086,0.811232688125411,-1.4223049717895,-1.23126721705849,-2.18988562096392,0.514735027086206
"7",0,-1.35747543765807,0,-2.62357531695593,0,1.77363698477577,0,-0.968381171231048,0,-0.552790617500357,0,0.192144348768435,-0.580899070686101,0.26997645979551,1.0270809535055,-0.647960218530727,-0.0634780109219508,-0.217763460462588,-0.316882174538446
"8",0,0.520720177546221,0,0,0,0,0,0,0,0.869583912098553,0,1.1928328283261,1.55027855538151,-1.37119221798144,1.58756633212558,0.765639164157347,0.783739611990053,-0.697889257854242,1.51479933101003
"9",0,0.913939973110115,0,0.22688447771887,0,-0.261347881526057,0,-0.0416681007314619,0,0,0,0.900924128106581,1.85757777928046,1.58537894701206,0.938575613692865,0.955799482615353,0.842285729711624,1.10362737577426,1.73689237680571
"10",0,-1.56605971193404,0,-1.23252717890107,0,-0.810319887339498,0,0,0,-2.55591908244297,0,1.09020255247367,-0.830576567306531,-2.40280262439303,-0.966856613689752,-0.483218878653361,-0.806885198953793,-1.488461135396,-0.374258940338129
